loan_amnt,term,int_rate,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_rec_prncp,total_rec_int,last_pymnt_amnt,repay_fail,credit_age_yrs
8000,36 months,10.99,5 years,RENT,82000,Source Verified,debt_consolidation,11.09,0,1,6,0,13799,0.879,27,8000,1427.33,297.98,0,17.30769231
35000,60 months,18.25,10+ years,MORTGAGE,2.00E+05,Verified,other,5.36,0,3,4,0,19255,0.77,27,4704.15,7665.68,304.95,1,25.00274725
12000,60 months,11.71,2 years,MORTGAGE,45000,Not Verified,debt_consolidation,17.87,0,1,7,0,7743,0.651,20,12000,1506,10346.55,0,16.13736264
6000,36 months,10.99,< 1 year,RENT,95000,Source Verified,debt_consolidation,17.08,0,0,11,0,28013,0.946,31,6000,1052.85,983.66,0,16.05494505
6000,36 months,12.99,2 years,RENT,48000,Not Verified,credit_card,19.4,0,1,17,0,6940,0.345,38,6000,677.76,4459.73,0,13.21153846
10000,36 months,6.03,3 years,MORTGAGE,50000,Not Verified,debt_consolidation,6.53,0,0,7,0,2,0,15,10000,755.29,4973.86,0,6.684065934
1800,36 months,8.59,2 years,RENT,24000,Not Verified,other,8.95,0,0,9,0,1620,0.171,11,1800,246.19,62.64,0,5.098901099
9600,36 months,14.46,6 years,RENT,52000,Verified,credit_card,11.35,0,1,10,0,13368,0.73,13,9600,2290.9,333.09,0,8.027472527
16800,36 months,10.99,7 years,MORTGAGE,80000,Verified,debt_consolidation,24.71,1,0,15,0,16250,0.178,27,16800,735.77,339.79,0,22.65659341
5000,60 months,16.45,10+ years,RENT,33600,Not Verified,moving,20.89,0,3,12,1,9391,0.552,20,5000,2367.31,127.42,0,12.79120879
4500,36 months,13.11,3 years,RENT,50000,Not Verified,credit_card,11.33,0,0,6,0,2979,0.458,17,4500,957.35,607.63,0,12.54120879
5000,36 months,11.12,< 1 year,RENT,30159.96,Source Verified,debt_consolidation,9.63,0,1,10,0,2670,0.356,10,5000,903.66,193.63,0,5.184065934
10000,36 months,9.63,9 years,MORTGAGE,60000,Source Verified,debt_consolidation,9.44,0,1,5,0,23186,0.615,14,6043.6,1326.52,320.95,1,14.37912088
15200,60 months,15.58,2 years,MORTGAGE,145000,Not Verified,home_improvement,19.22,0,2,20,0,19712,0.646,29,6825,2554.11,3304.6,0,10.20054945
3600,60 months,17.49,< 1 year,RENT,69996,Source Verified,debt_consolidation,3.34,0,1,6,1,3709,0.882,9,3411.88,1809.86,90.43,0,17.39285714
10400,36 months,9.32,10+ years,MORTGAGE,85000,Verified,medical,5.41,2,0,14,0,21244,0.247,31,10400,1264.5,5040.31,0,15.2967033
24000,36 months,10.99,8 years,RENT,135000,Verified,debt_consolidation,7.08,0,0,5,0,23717,0.641,17,24000,4282.13,805.96,0,13.21153846
18000,36 months,17.04,< 1 year,RENT,86000,Verified,debt_consolidation,6.81,0,0,7,0,4418,0.96,20,18000,5332.48,243.72,0,20.57417582
7000,36 months,10.99,5 years,RENT,18000,Not Verified,home_improvement,0.33,0,1,5,0,59,0.007,9,7000,1248.95,254.55,0,5.101648352
23400,36 months,18.29,10+ years,MORTGAGE,75000,Not Verified,credit_card,8.54,0,2,5,0,0,0,28,23400,7177.4,893.33,0,25.75824176
14500,36 months,7.51,10+ years,MORTGAGE,97600,Not Verified,medical,19.56,0,1,10,0,53404,0.541,22,14500,1739.61,495.6,0,27.76098901
13200,60 months,12.69,3 years,RENT,45000,Not Verified,debt_consolidation,22.93,0,0,5,0,8241,0.402,13,13200,4359.94,4459.14,0,9.03021978
10000,36 months,13.49,10+ years,MORTGAGE,50000,Not Verified,credit_card,5.88,1,2,5,0,8899,0.476,15,10000,2082.61,2939.1,0,13.29395604
10000,60 months,15.96,1 year,RENT,56496,Verified,debt_consolidation,18.84,0,2,11,0,14848,0.231,26,2484,2374.86,32.6,1,17.05769231
18000,60 months,19.42,7 years,MORTGAGE,45000,Verified,medical,14.29,0,1,5,0,6859,0.857,8,2570.56,3535.15,471.1,1,6.019230769
10000,60 months,13.8,8 years,RENT,60000,Not Verified,car,13.16,0,1,3,0,5146,0.705,9,10000,2731.08,6279.24,0,13.21428571
35000,60 months,20.62,10+ years,MORTGAGE,220000,Verified,debt_consolidation,17.41,1,0,10,0,31902,0.899,30,23725,1999.06,23179.03,0,17.38736264
27400,60 months,17.27,10+ years,MORTGAGE,143500,Source Verified,debt_consolidation,17.63,0,0,16,0,64765,0.503,30,2763.94,3384.23,684.95,1,43.31318681
6800,36 months,9.63,8 years,MORTGAGE,95000,Not Verified,home_improvement,17.72,0,0,12,0,24401,0.751,37,6800,1057.41,234.52,0,14.13186813
12000,36 months,5.42,6 years,MORTGAGE,75000,Source Verified,debt_consolidation,7.65,0,0,6,0,62539,0.479,35,12000,257.5,10813.21,0,21.91208791
18000,36 months,10.99,8 years,MORTGAGE,78000,Not Verified,debt_consolidation,12.73,0,0,10,1,2793,0.153,42,18000,165.32,18166.93,0,13.20604396
17000,36 months,9.25,6 years,MORTGAGE,160000,Source Verified,debt_consolidation,9.72,0,1,6,0,46680,0.902,31,17000,2533.99,610.16,0,20.48901099
7200,36 months,8.9,1 year,RENT,82060.56,Not Verified,wedding,12.66,0,0,15,0,23706,0.412,19,7200,1030.4,235.24,0,4.681318681
6000,36 months,7.51,5 years,RENT,55000,Not Verified,debt_consolidation,22.28,0,2,13,0,14217,0.202,25,6000,719.79,204.31,0,9.956043956
8000,36 months,20.86,1 year,RENT,103625,Not Verified,debt_consolidation,17.12,1,6,23,0,53338,0.413,43,8000,2831.2,303.81,0,24.50274725
10000,36 months,6.03,n/a,OWN,50000,Source Verified,debt_consolidation,13.18,0,0,11,0,7054,0.108,23,10000,956.78,307.55,0,43.31318681
10000,36 months,15.58,2 years,RENT,50000,Source Verified,credit_card,14.78,2,1,7,0,9526,0.732,18,10000,2248.48,4231.38,0,7.362637363
1200,36 months,12.73,n/a,RENT,4200,Not Verified,educational,4.29,1,0,4,0,63,0.079,5,1200,60.73,2.04,0,3.425824176
15600,60 months,16.02,< 1 year,MORTGAGE,46800,Source Verified,car,3.62,0,3,7,0,2778,0.398,14,15600,208.41,15810.03,0,7.950549451
500,36 months,12.99,< 1 year,RENT,26880,Not Verified,other,10,0,6,4,0,182,0.607,8,500,106.36,17.9,0,5.269230769
4000,36 months,5.42,10+ years,MORTGAGE,48000,Source Verified,home_improvement,11.53,0,2,14,0,1779,0.064,38,4000,185.77,2863.31,0,36.70604396
3000,36 months,15.62,6 years,RENT,37800,Source Verified,debt_consolidation,13.27,0,1,9,0,5628,0.563,17,3000,490.45,2025.34,0,9.03021978
12000,36 months,9.91,2 years,RENT,42000,Not Verified,debt_consolidation,7.83,0,2,8,0,9749,0.654,16,9011.72,1807.88,386.7,1,5.519230769
5000,36 months,13.43,< 1 year,RENT,53760,Source Verified,major_purchase,12.12,0,1,6,0,2456,0.819,9,5000,1102.24,181.08,0,3.516483516
14000,60 months,16.32,4 years,RENT,38760,Verified,car,14.12,0,0,3,0,3724,0.61,7,14000,6570.19,342.63,0,12.37637363
5500,36 months,7.51,2 years,RENT,36500,Not Verified,debt_consolidation,16.73,0,2,6,0,3272,0.268,12,1114.76,250.44,171.11,1,5.686813187
8000,60 months,22.74,9 years,MORTGAGE,86400,Verified,debt_consolidation,4.28,0,2,6,0,10901,0.839,6,7141.5,5414.26,224.34,0,10.28571429
25000,36 months,15.33,6 years,MORTGAGE,1.00E+05,Not Verified,debt_consolidation,16.28,0,1,8,0,32397,0.762,23,25000,4212.97,16159,0,15.88736264
4000,36 months,7.14,1 year,MORTGAGE,65200,Not Verified,debt_consolidation,5.39,1,0,7,0,5898,0.328,27,4000,156.78,2592.96,0,16.89010989
4000,36 months,10.62,5 years,MORTGAGE,49510,Not Verified,other,11.96,0,0,2,0,0,0,13,4000,687.95,273.75,0,16.14010989
9600,60 months,15.28,5 years,MORTGAGE,135000,Source Verified,debt_consolidation,6.98,1,2,13,1,4690,0.182,32,9600,2163.57,7416.41,0,15.63461538
12000,36 months,11.49,4 years,RENT,75000,Verified,debt_consolidation,15.33,2,3,12,0,4099,0.612,35,12000,2243.55,412.26,0,16.55494505
10000,36 months,9.63,7 years,MORTGAGE,60000,Verified,credit_card,15.7,0,0,15,0,34679,0.576,31,10000,1553.9,347.66,0,15.0521978
5500,36 months,11.49,2 years,RENT,35000,Not Verified,debt_consolidation,24.21,0,1,13,0,9789,0.532,23,5500,1028.25,192.72,0,9.115384615
5000,36 months,12.99,1 year,MORTGAGE,78000,Not Verified,credit_card,18.71,0,1,14,0,18802,0.764,28,5000,1064.01,177.82,0,14.71428571
8000,60 months,17.19,4 years,RENT,30000,Not Verified,debt_consolidation,8.68,0,2,8,0,6520,0.621,13,8000,3940.91,1176.64,0,7.024725275
25000,36 months,12.73,7 years,RENT,113000,Verified,debt_consolidation,16.56,0,0,12,0,30528,0.72,33,25000,5211.51,942.74,0,13.12637363
4200,60 months,7.88,10+ years,MORTGAGE,117000,Not Verified,car,8.99,0,1,18,0,12632,0.158,38,4200,895.19,93.46,0,14.29945055
7500,36 months,10.62,8 years,MORTGAGE,45000,Not Verified,car,10,1,2,8,0,4339,0.529,20,7500,1292.1,263.22,0,10.1978022
4000,36 months,5.42,2 years,MORTGAGE,34600,Not Verified,debt_consolidation,12.97,0,0,8,0,5021,0.096,21,4000,72.5,1108.67,0,12.12637363
2500,36 months,13.99,10+ years,MORTGAGE,56810,Verified,home_improvement,19.88,6,1,14,0,9173,0.309,29,2500,575.48,92.66,0,21.48626374
19000,60 months,10.99,8 years,MORTGAGE,62000,Verified,debt_consolidation,21.45,0,0,11,0,20755,0.515,21,17775.55,5753.83,413.02,0,11.12087912
15000,36 months,15.68,1 year,OWN,30000,Verified,other,2.68,0,2,6,0,3004,0.271,9,15000,3900.92,536.99,0,3.348901099
20000,36 months,13.57,4 years,RENT,1.00E+05,Source Verified,home_improvement,18.81,0,6,19,0,0,0,34,20000,227.88,20228.76,0,10.03571429
1200,36 months,11.89,1 year,RENT,13000,Not Verified,educational,24.09,0,0,6,0,772,0.257,7,1200,148.09,794.52,0,3.843406593
20000,36 months,13.22,10+ years,MORTGAGE,72893,Verified,debt_consolidation,20.31,0,0,21,0,67342,0.586,30,20000,4337.52,704.23,0,20.6510989
9600,60 months,10.65,8 years,MORTGAGE,102400,Source Verified,debt_consolidation,11.26,0,1,13,0,54211,0.283,52,9600,1295.84,7606.73,0,13.37912088
6000,36 months,11.49,10+ years,RENT,45000,Verified,credit_card,14,0,2,18,0,4932,0.264,27,6000,1121.9,211.76,0,14.88461538
4800,36 months,15.31,< 1 year,MORTGAGE,97572,Verified,home_improvement,6.27,0,5,7,1,5416,0.677,18,4800,180.05,4646.44,0,13.38186813
7200,36 months,10.08,< 1 year,RENT,38000,Not Verified,credit_card,18.09,0,1,11,0,12391,0.666,16,7199.99,1173.36,233.01,0,6.604395604
12000,36 months,10.99,6 years,RENT,75000,Not Verified,car,10.54,0,0,3,0,7503,0.219,15,12000,2142.27,432.71,0,22.15934066
16750,60 months,11.86,10+ years,MORTGAGE,50400,Verified,debt_consolidation,13.74,0,2,5,0,10842,0.516,24,3699.28,2642.68,202.41,1,13.21428571
8500,60 months,9.99,10+ years,OWN,25000,Not Verified,debt_consolidation,19.25,0,0,6,0,13819,0.536,12,8500,2333.45,180.4,0,18.22802198
12000,60 months,17.58,7 years,OWN,140000,Source Verified,renewable_energy,14.34,0,2,8,0,26216,0.907,35,12000,1838.02,229.12,0,14.79945055
13600,60 months,11.49,10+ years,MORTGAGE,95000,Not Verified,debt_consolidation,21.73,0,0,16,0,31849,0.403,44,1746.09,1243.42,28.4,1,23.07692308
12000,60 months,12.99,2 years,MORTGAGE,110000,Verified,home_improvement,16.67,0,0,11,0,25165,0.631,22,12000,3941.34,4779.28,0,11.36813187
7000,60 months,9.62,10+ years,MORTGAGE,63000,Not Verified,home_improvement,6.72,0,0,5,0,17598,0.258,20,7000,1845.33,146.95,0,19.4010989
8000,36 months,13.23,10+ years,OWN,89520,Not Verified,home_improvement,8.86,0,0,5,0,9848,0.887,12,8000,1210.59,4891.9,0,14.12912088
17500,36 months,14.72,10+ years,RENT,114237,Not Verified,debt_consolidation,9.3,0,0,9,0,31279,0.945,37,17500,4246.91,1249.15,0,11.87362637
12000,36 months,12.84,5 years,RENT,34000,Source Verified,debt_consolidation,23.05,2,2,13,1,8856,0.282,23,12000,2523.19,406.98,0,13.96428571
4000,36 months,5.42,5 years,MORTGAGE,54000,Source Verified,debt_consolidation,22.89,0,0,10,0,6858,0.216,29,4000,319.37,1190.36,0,14.12912088
15000,36 months,11.83,5 years,RENT,31200,Verified,credit_card,13.04,0,0,6,0,16566,0.43,11,15000,704.84,13726.46,0,17.47802198
16000,36 months,15.65,6 years,RENT,39000,Not Verified,debt_consolidation,19.75,0,0,3,0,19418,0.957,5,16000,4151.94,574.5,0,9.112637363
14000,60 months,16.32,5 years,RENT,92000,Verified,credit_card,9.7,0,0,13,0,12997,0.432,20,14000,2934.73,11457.37,0,7.436813187
10000,36 months,13.11,10+ years,MORTGAGE,57600,Not Verified,educational,10.83,0,1,5,1,2341,0.15,13,10000,694.27,72.64,0,21.23351648
10000,36 months,13.48,8 years,MORTGAGE,1.00E+05,Verified,debt_consolidation,20.93,0,2,10,0,129519,0.811,32,10000,2213.37,371.6,0,12.87637363
9600,60 months,16.32,2 years,RENT,59451,Verified,debt_consolidation,15.2,0,0,7,0,8522,0.529,8,9600,2415.86,7322.26,0,4.763736264
12800,36 months,7.29,8 years,RENT,104000,Verified,credit_card,20,0,0,14,0,5422,0.246,23,12800,1482.88,1205.94,0,12.46153846
14000,60 months,10.65,10+ years,MORTGAGE,48000,Not Verified,medical,4.47,0,2,11,0,3486,0.207,20,5831.22,2925.62,25.48,1,7.442307692
25000,60 months,11.99,10+ years,MORTGAGE,48000,Verified,home_improvement,2.7,0,3,7,0,2822,0.07,25,23873.27,8324.65,555.99,0,24.50274725
6800,36 months,17.49,7 years,OWN,60000,Source Verified,home_improvement,2.2,0,2,4,0,2204,0.234,10,6800,1987.49,258.28,0,9.03021978
7500,36 months,9.76,4 years,RENT,22596,Not Verified,debt_consolidation,6.74,0,0,6,0,7313,0.296,8,2459.75,675.2,241.16,1,4.681318681
7200,36 months,8.07,10+ years,MORTGAGE,61200,Not Verified,debt_consolidation,17,0,4,4,0,9366,0.407,8,6306.02,916.72,225.86,1,14.71978022
24600,60 months,18.54,9 years,MORTGAGE,110000,Verified,credit_card,21.59,0,3,7,0,3703,0.903,33,24600,13315.54,631.67,0,19.4010989
6000,36 months,6.03,3 years,MORTGAGE,65000,Not Verified,debt_consolidation,1.31,0,0,6,0,2244,0.28,18,6000,568.42,130.42,0,19.98351648
3000,60 months,14.83,4 years,RENT,42000,Source Verified,other,14.09,0,2,15,0,4843,0.367,24,3000,1265.93,70.44,0,12.7967033
20000,36 months,10.99,2 years,MORTGAGE,82000,Verified,debt_consolidation,13.43,0,2,8,0,75542,0.62,21,20000,1489.71,16267.04,0,13.54120879
9400,36 months,16.32,2 years,RENT,50000,Not Verified,wedding,1.46,0,1,3,0,4700,0.516,5,9400,2578.19,38.9,0,4.513736264
2000,36 months,14.5,3 years,MORTGAGE,68000,Verified,medical,24.16,0,1,6,0,10498,1,18,180.32,95.03,206.55,1,14.79945055
3600,36 months,12.21,1 year,RENT,60000,Verified,debt_consolidation,10.56,3,0,7,0,5211,0.301,24,3600,717.56,124.91,0,11.20604396
5000,36 months,11.14,2 years,RENT,23000,Not Verified,debt_consolidation,4.33,1,0,5,0,3612,0.546,19,5000,488.92,210.01,0,5.854395604
21000,36 months,11.99,8 years,MORTGAGE,175000,Source Verified,major_purchase,10.99,3,2,9,0,5438,0.4,20,21000,4085.72,2072.89,0,12.62362637
6000,60 months,11.11,7 years,RENT,30000,Verified,credit_card,19.28,0,1,6,0,18447,0.504,12,6000,1368.91,101.51,0,8.35989011
12000,36 months,14.09,10+ years,MORTGAGE,50400,Source Verified,debt_consolidation,24.12,0,2,9,0,17438,0.851,19,12000,1815.04,3062.77,0,13.5467033
22000,60 months,15.23,10+ years,MORTGAGE,45000,Verified,debt_consolidation,13.52,0,1,6,0,8290,0.393,13,22000,3134.85,19360.32,0,24.08241758
15000,36 months,10.62,7 years,RENT,53000,Source Verified,debt_consolidation,24.07,0,2,8,1,1617,0.11,14,15000,1648,9824.78,0,13.45879121
18500,36 months,10.25,3 years,MORTGAGE,99108,Source Verified,debt_consolidation,17.97,0,0,7,0,127532,0.767,33,18500,3069.04,655.97,0,27.00824176
5000,36 months,7.51,10+ years,MORTGAGE,65000,Source Verified,debt_consolidation,5.65,0,4,8,0,4261,0.091,20,5000,599.92,165.86,0,14.21428571
8325,60 months,16.89,2 years,OWN,27000,Source Verified,other,20.53,0,0,11,0,5686,0.618,12,7717.36,4036.99,206.41,0,4.848901099
31000,60 months,13.99,3 years,MORTGAGE,43200,Source Verified,small_business,13.78,0,1,5,0,23522,0.7,14,7887.55,5739.57,524.59,1,16.97527473
20000,60 months,12.99,1 year,MORTGAGE,60000,Verified,home_improvement,15.36,0,2,8,0,21162,0.415,36,20000,850.41,19493.37,0,16.05494505
3000,36 months,7.49,2 years,RENT,47000,Source Verified,debt_consolidation,13.43,0,0,14,0,12471,0.203,23,3000,328.09,1005.3,0,10.61538462
9000,36 months,5.99,10+ years,MORTGAGE,80000,Not Verified,major_purchase,6.31,0,0,9,0,14181,0.518,24,9000,751.98,3457.58,0,26.50274725
10000,36 months,7.9,2 years,MORTGAGE,50000,Not Verified,home_improvement,1.82,0,5,17,0,5511,0.121,34,10000,852.54,6162.97,0,12.62912088
20000,36 months,13.92,4 years,MORTGAGE,7.00E+05,Not Verified,home_improvement,3.09,0,0,8,0,6960,0.446,14,14186.89,4233.86,682.74,1,10.70054945
15000,36 months,13.22,3 years,RENT,32240,Not Verified,debt_consolidation,15.63,0,0,7,0,14489,0.894,11,15000,3252.61,524.15,0,40.88736264
3800,36 months,6.99,10+ years,OWN,20000,Source Verified,home_improvement,5.1,0,1,10,0,5876,0.122,16,3800,344.29,1803.18,0,17.22527473
25000,60 months,20.25,7 years,MORTGAGE,81996,Verified,debt_consolidation,24.19,1,1,12,0,9380,0.198,33,25000,13177.8,11548.71,0,18.55769231
10000,36 months,10.59,10+ years,MORTGAGE,195054.78,Source Verified,home_improvement,8.03,0,1,11,0,91935,0.62,45,10000,1716.16,344.85,0,16.38461538
10000,36 months,19.69,10+ years,RENT,96000,Source Verified,small_business,5.26,1,0,3,1,3240,0.926,15,10000,3508.41,198.69,0,9.612637363
8050,36 months,14.72,1 year,RENT,67000,Verified,credit_card,2.87,1,1,3,0,3667,0.733,8,8050,1956.55,294.44,0,11.20879121
5000,36 months,5.42,4 years,RENT,15600,Not Verified,debt_consolidation,9.77,0,0,5,0,3878,0.47,9,5000,415.35,1054.24,0,11.4532967
14000,36 months,10.62,2 years,MORTGAGE,170000,Source Verified,debt_consolidation,9.78,0,0,8,0,21842,0.696,36,14000,2153.69,5235.4,0,15.0521978
24000,36 months,20.52,< 1 year,MORTGAGE,125000,Not Verified,small_business,16.62,0,9,6,0,0,0,34,24000,8368.01,919.68,0,11.71153846
10200,36 months,10.37,5 years,OWN,50004,Not Verified,debt_consolidation,13.15,0,0,5,0,3681,0.695,15,1486.62,496.44,330.91,1,4.604395604
6000,36 months,6.91,6 years,MORTGAGE,26400,Verified,debt_consolidation,9.27,0,0,2,0,1605,0.434,9,760.32,163.88,185.02,1,22.99450549
14400,36 months,9.99,7 years,MORTGAGE,65000,Verified,debt_consolidation,12.37,0,0,9,0,8745,0.572,22,14400,2324.88,490.56,0,17.31043956
35000,36 months,19.69,7 years,MORTGAGE,270000,Verified,debt_consolidation,9.76,0,1,13,0,25077,0.88,21,35000,4726.84,29380.47,0,13.79395604
7500,36 months,11.49,1 year,RENT,68000,Not Verified,debt_consolidation,6.07,1,0,8,0,7224,0.701,11,7500,1354.03,1694.3,0,6.604395604
21000,36 months,10.59,10+ years,MORTGAGE,90000,Not Verified,credit_card,8.91,1,0,9,0,19773,0.363,27,21000,1506.38,17044.7,0,21.90659341
5000,36 months,11.83,2 years,RENT,36000,Not Verified,debt_consolidation,15.17,0,1,3,0,3024,0.3326,13,5000,234.94,4575.39,0,13.21153846
25000,36 months,6.62,6 years,RENT,80000,Verified,debt_consolidation,5.04,0,0,10,0,12877,0.205,21,25000,2570.55,4589.2,0,31.52472527
10000,36 months,12.18,< 1 year,RENT,40000,Not Verified,debt_consolidation,16.14,0,0,10,0,10006,0.685,14,10000,1957.75,27.04,0,8.112637363
10000,36 months,11.99,10+ years,OWN,65000,Verified,debt_consolidation,18.79,0,0,16,0,7796,0.549,38,10000,1955.4,334,0,13.87912088
15100,36 months,16.71,9 years,MORTGAGE,50000,Not Verified,debt_consolidation,16.22,0,3,23,0,36469,0.778,42,2383.96,1548.39,186.02,1,18.89835165
5600,60 months,17.51,5 years,MORTGAGE,70000,Verified,house,1.47,1,3,4,0,1977,0.824,6,5600,1870.35,1400.66,0,4.184065934
10000,60 months,19.29,10+ years,MORTGAGE,91633,Source Verified,debt_consolidation,3.95,5,4,10,1,5690,0.459,18,10000,1386.55,9302.69,0,14.54945055
12250,60 months,15.58,< 1 year,RENT,32088,Not Verified,credit_card,21.77,0,0,6,0,13220,0.811,20,12250,4625.32,2179.55,0,12.29120879
18750,36 months,7.9,3 years,MORTGAGE,75000,Source Verified,debt_consolidation,13.94,0,1,11,0,31463,0.496,24,18750,2370.89,591.04,0,13.21153846
7000,36 months,9.99,5 years,RENT,60000,Not Verified,credit_card,10.06,0,0,5,0,9406,0.495,10,7000,1130.77,248.03,0,13.87912088
10000,36 months,11.86,4 years,RENT,30000,Verified,home_improvement,23.8,0,1,8,0,329,0.072,14,10000,1934.73,383.28,0,8.695054945
25000,60 months,19.69,6 years,RENT,50000,Source Verified,small_business,13.22,0,0,7,0,14345,0.833,13,6496.46,7965.68,658.05,1,12.62362637
2600,36 months,6.92,1 year,RENT,20160,Source Verified,debt_consolidation,14.52,0,1,6,0,3335,0.355,8,2600,48.77,1354.28,0,19.06593407
7500,36 months,12.53,10+ years,RENT,48000,Not Verified,car,20.51,0,0,9,0,12189,0.693,19,7500,1535.85,269.82,0,12.95879121
12000,60 months,15.23,< 1 year,MORTGAGE,118404,Source Verified,home_improvement,8.39,1,1,16,0,263,0.017,31,12000,1169.34,11168.7,0,7.107142857
2500,36 months,7.29,n/a,RENT,15600,Verified,house,14.46,0,0,8,0,2037,0.522,17,2500,290.87,85.18,0,9.950549451
3600,60 months,16.49,5 years,OWN,31243,Not Verified,car,5.03,0,1,5,0,2988,0.29,5,1842.24,1360,88.49,1,4.013736264
14400,36 months,10.25,4 years,MORTGAGE,2.00E+05,Not Verified,credit_card,13.97,0,2,15,0,338935,0.783,50,14400,2248.8,4102.66,0,16.81318681
11000,36 months,8.94,7 years,MORTGAGE,50400,Not Verified,credit_card,22.38,0,4,6,0,8694,0.54,14,11000,1581.47,382.29,0,26.17582418
4000,36 months,8,< 1 year,RENT,48000,Verified,medical,2.77,0,0,7,0,703,0.023,38,4000,271.86,6.9,0,8.60989011
8725,36 months,5.99,7 years,OWN,74360,Not Verified,debt_consolidation,25.71,0,1,8,0,23120,0.346,22,8725,535.03,5545.85,0,29.26648352
13250,60 months,18.99,3 years,MORTGAGE,140000,Verified,debt_consolidation,19.95,4,1,12,0,7145,0.545,57,13250,4949.74,8955.91,0,24.49725275
550,36 months,12.04,1 year,RENT,18720,Not Verified,vacation,5.22,0,2,1,1,182,0.182,1,550,108.02,19,0,3.008241758
15800,60 months,10.74,10+ years,MORTGAGE,84000,Source Verified,home_improvement,6.29,0,0,14,0,18738,0.171,32,15800,3702.11,8236.01,0,25.33241758
7500,36 months,8.32,9 years,MORTGAGE,70000,Not Verified,credit_card,2.81,0,0,6,0,7905,0.302,14,7500,1000.71,236.13,0,11.62087912
5000,36 months,7.88,4 years,RENT,34000,Verified,debt_consolidation,24.62,0,2,7,0,4343,0.29,10,5000,594.76,1377.43,0,13.62637363
22000,36 months,13.06,5 years,MORTGAGE,60000,Verified,debt_consolidation,5.66,0,1,10,0,9137,0.169,29,22000,474.63,21736.86,0,25
33600,60 months,14.27,10+ years,RENT,86000,Source Verified,debt_consolidation,20.57,0,0,6,0,45043,0.57,18,29064.62,13395.78,786.53,0,20.73901099
20000,60 months,12.61,3 years,RENT,65000,Verified,credit_card,20.38,0,0,8,0,20473,0.721,19,20000,7064.68,450.96,0,7.192307692
8000,36 months,7.9,10+ years,MORTGAGE,67200,Not Verified,home_improvement,4.54,0,1,7,0,3406,0.36,22,8000,977.56,1725.58,0,13.71703297
5000,60 months,18.25,< 1 year,OWN,24996,Source Verified,debt_consolidation,4.18,0,1,5,0,2545,0.878,9,4497.64,2629.2,127.65,0,4.266483516
7000,36 months,10.38,2 years,RENT,22500,Source Verified,debt_consolidation,24.59,0,1,5,0,9314,0.665,8,7000,1176.89,236.05,0,9.115384615
8000,36 months,5.79,4 years,RENT,76860,Source Verified,credit_card,21.56,0,0,6,0,11584,0.495,12,8000,693.54,2160.86,0,8.274725275
16800,36 months,13.92,8 years,MORTGAGE,225000,Verified,credit_card,24.06,0,3,12,0,109027,0.902,29,16800,3846,599.07,0,18.89835165
35000,36 months,8.9,< 1 year,MORTGAGE,144000,Verified,debt_consolidation,17.25,0,0,11,0,26762,0.643,33,35000,5009.01,1123.41,0,28.68406593
12000,36 months,6.03,5 years,MORTGAGE,64000,Source Verified,debt_consolidation,15.64,0,0,9,0,8635,0.355,25,12000,1148.14,370.85,0,13.46428571
11500,36 months,9.63,4 years,MORTGAGE,71738,Verified,home_improvement,15.89,0,3,14,0,3009,0.199,27,11500,1565.56,4587.94,0,9.450549451
7000,60 months,15.2,5 years,RENT,125000,Verified,home_improvement,14.85,0,2,8,0,23492,0.782,15,7000,1291.83,5789.39,0,6.354395604
2000,36 months,14.72,n/a,MORTGAGE,59000,Not Verified,medical,19.51,0,1,10,0,135478,0.767,40,322.64,159.66,69.06,1,34.4532967
10000,36 months,12.53,1 year,OTHER,37800,Verified,car,10.38,0,3,9,0,26788,0.652,24,462.67,206.23,334.67,1,9.03021978
4000,60 months,7.88,3 years,RENT,67000,Not Verified,wedding,15.24,0,0,8,0,1025,0.114,12,4000,852.51,91.65,0,6.604395604
8500,36 months,15.7,4 years,MORTGAGE,24000,Not Verified,other,0,0,2,2,0,0,0,13,8500,1166.8,13.34,0,10.7032967
24000,60 months,17.27,9 years,MORTGAGE,119004,Source Verified,home_improvement,5.7,2,1,3,0,381,0.076,13,17411.86,11347.86,599.96,1,14.54945055
18000,36 months,7.51,7 years,RENT,115000,Verified,other,12.22,0,0,9,0,19871,0.655,31,10495.01,1800.13,560,1,15.5521978
25000,60 months,15.99,10+ years,RENT,125000,Verified,debt_consolidation,15.18,0,2,19,0,27667,0.406,39,23767.04,11408.58,607.82,0,16.14010989
5000,36 months,14.83,2 years,RENT,26496,Not Verified,other,1.63,0,0,2,0,1978,0.791,12,4999.99,1225.31,184.77,0,11.79395604
4400,60 months,7.88,< 1 year,OWN,8400,Source Verified,small_business,9.14,0,1,5,0,2167,0.258,6,4400,457.57,3351.18,0,13.62637363
6000,36 months,13.22,2 years,RENT,43000,Not Verified,debt_consolidation,22.32,0,0,5,0,7115,0.765,5,6000,1255.54,1383.04,0,6.357142857
9600,36 months,8.49,3 years,MORTGAGE,64000,Source Verified,other,4.73,0,5,7,0,6379,0.301,11,9600,1308.11,339.82,0,14.62912088
20000,60 months,11.99,10+ years,MORTGAGE,51000,Verified,debt_consolidation,13.01,0,0,6,0,4261,0.463,21,4794.26,3195.04,444.79,1,17.64010989
